Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
Snow,Orhan Pamuk,Maureen Freely (Translator),0375706860,paperback,to-read,2022/09/21,"","",0,"",,,,,,,,,"",,"",No
Kaikeyi,Vaishnavi Patel,"",9780759557338,hardcover,did-not-finish,2023/05/18,"","",0,"",,,,,,,,,"",,"",No
By Grand Central Station I Sat Down and Wept,Elizabeth Smart,"",9780679738046,paperback,to-read,2024/01/02,"","",0,"",,,,,,,,,"",,"",No
Starstruck,Brenda Hiatt,"",,digital,read,2022/09/30,2023/12/10,2023/12/09-2023/12/10,2,"",,,,,,,,,"",,"",No
Listen for the Lie,Amy Tintera,"",9781250880314,hardcover,to-read,2024/08/16,"","",0,"",,,,,,,,,"",,"",No
The Perfect Marriage,Jeneva Rose,"",9781913419653,paperback,read,2023/03/31,2023/04/17,2023/04/16-2023/04/17,1,"",,,,,,,,,"",,"",No
The Engineer's Wife,Tracey Enerson Wood,"",9781492698135,hardcover,to-read,2024/01/12,"","",0,"",,,,,,,,,"",,"",No
The God of Small Things,Arundhati Roy,"",9780679457312,hardcover,to-read,2022/09/21,"","",0,"",,,,,,,,,"",,"",No
On the Genealogy of Morals,Friedrich Nietzsche,Douglas Smith,9780192836175,paperback,to-read,2024/03/18,"","",0,"",,,,,,,,,"",,"",No
We Were Liars,E. Lockhart,"",9780385741262,hardcover,read,2022/09/19,2022/10/08,2022/10/07-2022/10/08,1,"",,"","","","","",4.5,"","","","",No
Daisy Jones & The Six,Taylor Jenkins Reid,"",9781524798628,hardcover,to-read,2024/01/07,"","",0,"",,,,,,,,,"",,"",No
The Art of Loving,Erich Fromm,"Marion Hausner Pauck (Translator), Peter D. Kramer (Contributor), Rainer Funk (Contributor)",9780061129735,paperback,to-read,2023/09/28,"","",0,"",,,,,,,,,"",,"",No
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,"",9781501139239,hardcover,read,2022/09/19,2022/12/17,2022/12/14-2022/12/17,1,"",,"","","","","",4.5,"","","","",No
The Wonderful Story of Henry Sugar and Six More,Roald Dahl,"",9780375814235,hardcover,to-read,2022/10/09,"","",0,"",,,,,,,,,"",,"",No
Talking to My Daughter About the Economy: A Brief History of Capitalism,Yanis Varoufakis,Jacob Moe (Translator),9781847924445,hardcover,to-read,2022/09/19,"","",0,"",,,,,,,,,"",,"",No
IQ84,Haruki Murakami,"","",paperback,to-read,2024/08/15,"","",0,"",,,,,,,,,"",,"",No
The Midnight Feast,Lucy Foley,"",9780063003101,hardcover,to-read,2024/09/10,"","",0,"",,,,,,,,,"",,"",No
Conversations with Friends,Sally Rooney,"",9780451499066,paperback,read,2022/09/19,2022/08/11,2022/08/11,1,"",,"","","","","",4.0,"","","","",No
The Blind Assassin,Margaret Atwood,"",9781860498800,paperback,to-read,2024/09/10,"","",0,"",,,,,,,,,"",,"",No
"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,"",9780593321201,hardcover,to-read,2022/09/19,"","",0,"",,,,,,,,,"",,"",No
The Giver,Lois Lowry,"",9780385732550,paperback,read,2022/12/17,2022/12/19,2022/12/17-2022/12/19,1,"",,,,,,,,,"",,"",No
The Unexpected Joy of the Ordinary,Catherine Gray,"",9781783253371,hardcover,to-read,2022/09/19,"","",0,"",,,,,,,,,"",,"",No
"My Child, the Algorithm: An Alternatively Intelligent Book of Love",Hannah Silva,"",9781593767808,paperback,to-read,2024/10/07,"","",0,"",,,,,,,,,"",,"",No
We Are the Weather: Saving the Planet Begins at Breakfast,Jonathan Safran Foer,"",9780374280000,hardcover,to-read,2022/09/19,"","",0,"",,,,,,,,,"",,"",No
Just Kids,Patti Smith,"",9780066211312,hardcover,read,2024/01/07,"","",1,"",,,,,,,,,"",,"",No
The Midnight Library,Matt Haig,"",9780525559474,hardcover,read,2023/06/16,2023/06/27,2023/06/16-2023/06/27,1,"",,,,,,,,,"",,"",No
The Book Thief,Markus Zusak,"",9780375831003,hardcover,to-read,2022/09/26,"","",0,"",,,,,,,,,"",,"",No
"Why Fish Don't Exist: A Story of Loss, Love, and the Hidden Order of Life",Lulu Miller,Kate Samworth (Illustrator),9781501160349,paperback,to-read,2022/09/19,"","",0,"",,,,,,,,,"",,"",No
Tell the Machine Goodnight,Katie Williams,"",9780525533122,hardcover,to-read,2022/09/27,"","",0,"",,,,,,,,,"",,"",No
Autumn,Ali Smith,"",9780241207000,hardcover,to-read,2024/08/17,"","",0,"",,,,,,,,,"",,"",No
Factfulness: Ten Reasons We're Wrong About the World – and Why Things Are Better Than You Think,Hans Rosling,"Anna Rosling Rönnlund, Ola Rosling",9781473637467,hardcover,did-not-finish,2022/09/19,"","",0,"",,,,,,,,,"",,"",No
A Gentle Reminder,Bianca Sparacino,"",9781949759297,paperback,to-read,2022/09/19,"","",0,"",,,,,,,,,"",,"",No
The Color Purple,Alice Walker,"",9780143135692,paperback,to-read,2024/01/07,"","",0,"",,,,,,,,,"",,"",No
The Invisible Life of Addie LaRue,V.E. Schwab,Julia Whelan (Narrator),9781250777959,audio,read,2024/09/16,2024/09/26,2024/09/16-2024/09/26,1,"",,"","","","","",3.75,"","","","",No
The Ministry of Time,Kaliane Bradley,"",9781399726344,hardcover,to-read,2024/08/30,"","",0,"",,,,,,,,,"",,"",No
The Night in Question,Tobias Wolff,"",9780679402183,hardcover,to-read,2022/10/07,"","",0,"",,,,,,,,,"",,"",No
Cloud Cuckoo Land,Anthony Doerr,"",9781982168438,hardcover,to-read,2024/06/17,"","",0,"",,,,,,,,,"",,"",No
The Name of the Wind,Patrick Rothfuss,"",9780756404079,hardcover,to-read,2022/09/20,"","",0,"",,,,,,,,,"",,"",No
How High We Go in the Dark,Sequoia Nagamatsu,"",9780063072640,hardcover,to-read,2022/09/19,"","",0,"",,,,,,,,,"",,"",No
The Inheritance Games,Jennifer Lynn Barnes,"",9781368052405,hardcover,to-read,2022/09/19,"","",0,"",,,,,,,,,"",,"",No
Broadway: A History of New York City in Thirteen Miles,Fran Leadon,"",9780393240108,hardcover,to-read,2024/04/29,"","",0,"",,,,,,,,,"",,"",No
I Feel Bad About My Neck: And Other Thoughts on Being a Woman,Nora Ephron,"",9780307264558,hardcover,read,2022/09/26,2022/09/26,2022/09/25-2022/09/26,1,"",,,,,,,,,"",,"",No
"In Other Rooms, Other Wonders",Daniyal Mueenuddin,"",9780393068009,hardcover,to-read,2023/12/23,"","",0,"",,,,,,,,,"",,"",No
Mad About You,Mhairi McFarlane,"",9780008412456,paperback,to-read,2023/03/31,"","",0,"",,,,,,,,,"",,"",No
The Kamogawa Food Detectives,Hisashi Kashiwai,Jesse Kirkwood (Translator),9781035009572,hardcover,to-read,2024/07/04,"","",0,"",,,,,,,,,"",,"",No
If We Were Villains,M.L. Rio,"",9781250095282,hardcover,read,2023/10/15,2024/09/07,2024/09/02-2024/09/07,1,"dark, mysterious",fast,"","","","","",4.0,"","","","",No
Good Economics for Hard Times: Better Answers to Our Biggest Problems,"Abhijit V. Banerjee, Esther Duflo",James M. Loree (Narrator),9781549128837,audio,to-read,2024/06/17,"","",0,"",,,,,,,,,"",,"",No
"The 3 Alarms: A Simple System to Transform Your Health, Wealth, and Relationships Forever",Eric Partaker,"",0990378527,digital,to-read,2023/03/31,"","",0,"",,,,,,,,,"",,"",No
We Should All Be Feminists,Chimamanda Ngozi Adichie,"",9781101872932,digital,read,2022/09/19,2022,2022,1,"",,,,,,,5.0,"","","","",Yes
Half-Arse Human: How to live better without burning out,Leena Norms,"",9781399820318,digital,to-read,2024/10/08,"","",0,"",,,,,,,,,"",,"",No
The Architecture of Happiness,Alain de Botton,"",9780375424434,hardcover,to-read,2022/09/19,"","",0,"",,,,,,,,,"",,"",No
Days at the Morisaki Bookshop,Satoshi Yagisawa,"Eric Ozawa (Translator), Susan Momoko Hingley (Narrator)",9780063278691,audio,currently-reading,2024/10/12,"","",0,"",,,,,,,,,"",,"",No
Starbound,Brenda Hiatt,"",,digital,read,2022/09/30,"","",1,"",,,,,,,,,"",,"",No
Four Thousand Weeks: Time Management for Mortals,Oliver Burkeman,"",9780374159122,hardcover,did-not-finish,2022/09/19,"","",0,"",,,,,,,,,"",,"",No
The Secret History,Donna Tartt,"",9781400031702,paperback,did-not-finish,2022/09/19,"","",0,"",,,,,,,,,"",,"",Yes
First Comes Love,Tom Rasmussen,"",9781526626875,hardcover,to-read,2022/09/27,"","",0,"",,,,,,,,,"",,"",No
All's Well,Mona Awad,"",9781982169664,hardcover,to-read,2023/03/31,"","",0,"",,,,,,,,,"",,"",No
The Djinn Waits a Hundred Years,Shubnum Khan,"",9780593653456,hardcover,to-read,2024/04/10,"","",0,"",,,,,,,,,"",,"",No
The Denial of Death,Ernest Becker,Sam Keen (Contributor),9780684832401,paperback,to-read,2024/03/18,"","",0,"",,,,,,,,,"",,"",No
Less,Andrew Sean Greer,"",9780316316125,hardcover,to-read,2022/09/19,"","",0,"",,,,,,,,,"",,"",No
The Reader,Bernhard Schlink,Carol Brown Janeway,9780375408267,hardcover,to-read,2024/06/15,"","",0,"",,,,,,,,,"",,"",No
Thinking in Bets: Making Smarter Decisions When You Don't Have All the Facts,Annie Duke,"",9780735216358,hardcover,read,2024/05/24,2024/05/24,2024/05/20-2024/05/24,1,"",,,,,,,,,"",,"",No
Writers & Lovers,Lily King,"",9780802148537,hardcover,to-read,2022/09/19,"","",0,"",,,,,,,,,"",,"",No
Sourdough,Robin Sloan,"",9780374203108,hardcover,"","","","","","","","","","","","","","","","","",Yes
An Elephant in the Garden,Michael Morpurgo,"",9780312593698,hardcover,"","","","","","","","","","","","","","","","","",Yes
